OK
1478534812.079674 [0 127.0.0.1:42663] "HGETALL" "user4288356040983891607"
1478534812.080367 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.081083 [0 127.0.0.1:42663] "HGETALL" "user5108558539947546406"
1478534812.081779 [0 127.0.0.1:42663] "HGETALL" "user4539424095350079351"
1478534812.082586 [0 127.0.0.1:42663] "HGETALL" "user2509293395725280967"
1478534812.083339 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.083993 [0 127.0.0.1:42663] "HGETALL" "user1950651236190630170"
1478534812.084743 [0 127.0.0.1:42663] "HGETALL" "user8290580044389398177"
1478534812.085436 [0 127.0.0.1:42663] "HGETALL" "user1578455356404546011"
1478534812.086128 [0 127.0.0.1:42663] "HGETALL" "user4057370950936897366"
1478534812.086820 [0 127.0.0.1:42663] "HGETALL" "user2422990371270978228"
1478534812.087560 [0 127.0.0.1:42663] "HGETALL" "user4153387984724034032"
1478534812.088258 [0 127.0.0.1:42663] "HGETALL" "user6993570543543969522"
1478534812.088897 [0 127.0.0.1:42663] "HGETALL" "user1236616410782629730"
1478534812.089654 [0 127.0.0.1:42663] "HGETALL" "user1487684465148817474"
1478534812.090395 [0 127.0.0.1:42663] "HGETALL" "user4891195365522671442"
1478534812.091077 [0 127.0.0.1:42663] "HGETALL" "user8637665132542722587"
1478534812.091747 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.092436 [0 127.0.0.1:42663] "HGETALL" "user4997922999590466249"
1478534812.093118 [0 127.0.0.1:42663] "HGETALL" "user8290580044389398177"
1478534812.093831 [0 127.0.0.1:42663] "HGETALL" "user8743272845586236498"
1478534812.094524 [0 127.0.0.1:42663] "HGETALL" "user2765389277405034957"
1478534812.095340 [0 127.0.0.1:42663] "HMSET" "user8517097267634966620" "field0" "5Qs2>><<d>^u4C9,3r%0&5M#69()\"0=%v2N7*26!Ga,4(=.:/?b/$j6B/!^/-Xs2%|0Jm+%v.Xo236:C3,..*S}&Hc#^3!=p#A+5"
1478534812.095720 [0 127.0.0.1:42663] "HGETALL" "user5228908089637460490"
1478534812.096391 [0 127.0.0.1:42663] "HGETALL" "user5344789772525948776"
1478534812.097093 [0 127.0.0.1:42663] "HGETALL" "user3338649943509629245"
1478534812.097790 [0 127.0.0.1:42663] "HGETALL" "user7581791361512805866"
1478534812.098515 [0 127.0.0.1:42663] "HGETALL" "user397545853665447525"
